epoch,status,latency_ms,detail
1783076166.334,PASS,1229,ok
1783076167.880,PASS,1222,ok
1783076169.418,PASS,1262,ok
1783076171.006,PASS,1282,ok
1783076172.604,PASS,1210,ok
1783076174.130,PASS,1190,ok
1783076175.637,PASS,1198,ok
1783076177.152,PASS,1150,ok
1783076178.618,PASS,1211,ok
1783076180.145,PASS,1222,ok
1783076181.682,PASS,1196,ok
1783076183.193,PASS,1235,ok
1783076184.744,FAIL,8337,fail
1783076193.396,FAIL,8331,fail
1783076202.043,FAIL,8331,fail
1783076210.690,FAIL,8330,fail
1783076219.338,FAIL,8330,fail
1783076227.985,FAIL,8347,fail
1783076236.652,FAIL,8357,fail
1783076245.328,PASS,3220,ok
1783076248.887,PASS,2345,ok
1783076251.549,PASS,1272,ok
1783076253.138,PASS,1211,ok
1783076254.666,PASS,1185,ok
1783076256.165,PASS,1246,ok
1783076257.728,PASS,1208,ok
1783076259.255,PASS,1157,ok
1783076260.728,PASS,1215,ok
1783076262.258,PASS,1180,ok
1783076263.753,PASS,1309,ok
1783076265.380,PASS,1203,ok
