16:35:16 |      GPE_1#1       |         Online          |         Running         |          4370           | |      GPE_1#2       |         Online          |         Running         |          4376           | 
16:35:21 |      GPE_1#1       |         Online          |         Running         |          4370           | |      GPE_1#2       |         Online          |         Running         |          4376           | 
16:35:27 |      GPE_1#1       |         Online          |         Running         |          4370           | |      GPE_1#2       |         Online          |         Running         |          4376           | 
16:35:32 |      GPE_1#1       |         Online          |         Running         |          4370           | |      GPE_1#2       |         Online          |         Running         |          4376           | 
16:35:37 |      GPE_1#1       |         Online          |         Running         |          4370           | |      GPE_1#2       |         Online          |         Running         |          4376           | 
16:35:42 |      GPE_1#1       |         Online          |         Running         |          4370           | |      GPE_1#2       |         Online          |         Running         |          4376           | 
16:35:48 |      GPE_1#1       |         Online          |         Running         |          4370           | |      GPE_1#2       |      StatusUnknown      |      StateUnknown       |       Unknown PID       | 
16:36:23 |      GPE_1#1       |         Online          |         Running         |          4370           | |      GPE_1#2       |      StatusUnknown      |      StateUnknown       |       Unknown PID       | 
16:36:59 |      GPE_1#1       |         Online          |         Running         |          4370           | |      GPE_1#2       |      StatusUnknown      |      StateUnknown       |       Unknown PID       | 
16:37:15 |      GPE_1#1       |         Online          |         Running         |          4370           | |      GPE_1#2       |         Online          |         Running         |          4376           | 
16:37:28 |      GPE_1#1       |         Online          |         Running         |          4370           | |      GPE_1#2       |          Down           |         Stopped         |          4376           | 
16:37:33 |      GPE_1#1       |         Online          |         Running         |          4370           | |      GPE_1#2       |          Down           |         Stopped         |          4376           | 
16:37:38 |      GPE_1#1       |         Online          |         Running         |          4370           | |      GPE_1#2       |          Down           |         Stopped         |          4376           | 
16:37:44 |      GPE_1#1       |         Online          |         Running         |          4370           | |      GPE_1#2       |          Down           |         Stopped         |          4376           | 
16:37:49 |      GPE_1#1       |         Online          |         Running         |          4370           | |      GPE_1#2       |          Down           |         Stopped         |          4376           | 
16:37:54 |      GPE_1#1       |         Online          |         Running         |          4370           | |      GPE_1#2       |         Warmup          |         Running         |          3928           | 
16:37:59 |      GPE_1#1       |         Online          |         Running         |          4370           | |      GPE_1#2       |         Online          |         Running         |          3928           | 
16:38:05 |      GPE_1#1       |         Online          |         Running         |          4370           | |      GPE_1#2       |         Online          |         Running         |          3928           | 
